brand,store,mape,train_days,test_days
126.0,10.0,218.8,33,12
3102.0,15.0,400.16,24,8
2757.0,10.0,128.28,31,11
5734.0,34.0,327.6,28,10
4261.0,27.0,79.28,38,13
3650.0,10.0,50.53,37,13
4722.0,34.0,63.65,36,13
5364.0,41.0,106.13,36,12
2120.0,38.0,40.05,39,13
3405.0,75.0,73.98,31,11
8159.0,76.0,999.0,36,12
2120.0,73.0,123.1,36,13
4261.0,8.0,60.08,36,13
3858.0,49.0,290.1,25,9
3545.0,10.0,135.13,36,13
4261.0,31.0,52.05,36,12
8082.0,66.0,74.95,34,12
8512.0,50.0,113.43,26,9
8112.0,73.0,339.26,39,14
8068.0,9.0,39.16,39,13
3857.0,38.0,90.41,37,13
8159.0,73.0,457.4,31,11
2589.0,32.0,110.23,22,8
2120.0,60.0,38.49,37,13
8068.0,53.0,41.42,39,13
3405.0,78.0,94.37,38,13
2585.0,73.0,76.38,35,12
8068.0,32.0,122.99,36,13
3405.0,71.0,52.87,30,11
2886.0,34.0,119.75,30,11
2589.0,59.0,145.17,29,10
2663.0,60.0,68.65,39,13
3650.0,74.0,130.4,26,9
3405.0,59.0,38.92,33,12
800.0,33.0,110.89,25,9
3650.0,73.0,81.84,33,11
4243.0,34.0,61.67,35,12
126.0,32.0,740.28,31,11
2757.0,27.0,883.57,27,10
1233.0,75.0,66.19,35,12
8000.0,76.0,143.83,33,12
3650.0,76.0,119.42,34,12
8680.0,60.0,230.28,36,12
2663.0,15.0,140.91,36,12
4261.0,58.0,51.85,30,11
3102.0,61.0,229.24,33,11
3505.0,76.0,248.24,36,12
8112.0,38.0,150.29,39,13
2585.0,38.0,474.58,36,12
3857.0,66.0,237.45,33,11
4261.0,7.0,50.8,37,13
3102.0,2.0,269.67,33,11
3423.0,60.0,146.94,35,12
1376.0,41.0,99.02,38,13
3423.0,38.0,420.92,39,14
3405.0,51.0,88.01,35,12
3798.0,50.0,80.49,25,9
8512.0,34.0,75.03,26,9
4261.0,20.0,62.79,28,10
3405.0,64.0,245.16,37,13
3348.0,67.0,241.96,36,13
6570.0,60.0,103.29,36,12
3545.0,59.0,439.82,36,13
4261.0,43.0,37.88,31,11
8512.0,76.0,65.8,38,13
3650.0,66.0,52.94,33,12
3405.0,54.0,129.41,30,10
8068.0,51.0,61.04,37,13
5364.0,38.0,45.43,36,13
1233.0,14.0,248.23,34,12
1737.0,76.0,162.89,37,13
4261.0,72.0,52.89,38,13
3405.0,1.0,117.51,35,12
6570.0,50.0,64.79,33,11
3405.0,19.0,139.82,35,12
4261.0,77.0,43.76,30,10
8068.0,56.0,150.52,38,13
1376.0,15.0,82.2,36,13
2585.0,66.0,114.32,32,11
42188.0,34.0,74.13,23,8
4261.0,59.0,58.64,30,10
4673.0,34.0,68.85,34,12
3512.0,76.0,131.23,38,13
4261.0,75.0,64.28,36,13
1233.0,77.0,119.21,36,12
8680.0,74.0,52.74,34,12
2120.0,50.0,56.47,32,11
8680.0,66.0,126.71,36,13
1376.0,69.0,94.21,24,9
1376.0,2.0,47.44,33,11
3545.0,32.0,83.47,36,13
3489.0,41.0,999.0,37,13
8068.0,7.0,80.38,39,14
3423.0,50.0,549.67,27,9
2589.0,60.0,39.03,35,12
4261.0,62.0,46.86,39,13
1233.0,9.0,51.76,39,13
3650.0,6.0,123.79,37,13
2753.0,66.0,45.67,32,11
1233.0,4.0,84.25,22,8
2757.0,15.0,347.04,30,10
3348.0,60.0,114.47,33,12
4243.0,50.0,74.74,24,9
1233.0,1.0,152.94,39,13
1233.0,58.0,47.04,36,12
3405.0,20.0,75.76,36,12
8082.0,67.0,94.43,33,11
3489.0,55.0,203.59,36,13
3102.0,33.0,198.01,30,10
8082.0,61.0,872.58,27,10
2757.0,55.0,171.82,33,12
4243.0,14.0,32.27,38,13
3405.0,61.0,104.4,31,11
8112.0,60.0,216.28,33,11
126.0,34.0,158.69,36,13
5138.0,76.0,280.1,36,13
4261.0,79.0,84.34,30,11
7865.0,34.0,80.59,32,11
3489.0,69.0,504.16,28,10
126.0,76.0,302.49,39,13
4261.0,33.0,69.06,33,12
1376.0,23.0,29.31,38,13
1385.0,76.0,68.64,35,12
1233.0,22.0,50.14,38,13
8000.0,73.0,179.56,33,11
5138.0,50.0,64.72,22,8
1376.0,66.0,105.32,36,13
4261.0,22.0,60.6,36,12
1233.0,7.0,57.86,37,13
6967.0,34.0,74.38,29,10
6570.0,66.0,145.44,38,13
5103.0,34.0,113.23,30,10
7878.0,76.0,129.35,40,14
2753.0,38.0,50.56,31,11
1376.0,14.0,55.56,37,13
3826.0,38.0,33.53,38,13
3650.0,41.0,258.53,32,11
6570.0,15.0,780.48,33,12
8068.0,71.0,72.85,35,12
8068.0,22.0,57.12,37,13
8512.0,73.0,55.91,37,13
3405.0,44.0,107.39,27,9
5734.0,69.0,981.8,26,9
2120.0,34.0,815.89,25,9
3405.0,31.0,131.19,36,13
6570.0,68.0,103.6,36,12
3545.0,27.0,131.15,37,13
6967.0,76.0,97.71,36,13
2589.0,67.0,75.36,33,12
3512.0,50.0,360.67,27,9
3802.0,38.0,182.6,37,13
3405.0,32.0,411.91,33,12
2589.0,41.0,166.48,33,12
2757.0,2.0,130.34,28,10
3405.0,14.0,82.34,35,12
1233.0,72.0,72.76,36,12
3650.0,38.0,56.1,37,13
7878.0,23.0,90.5,39,14
8068.0,77.0,309.71,35,12
2757.0,48.0,299.02,24,8
4243.0,76.0,71.56,31,11
1233.0,20.0,341.99,26,9
1233.0,71.0,61.94,30,11
11219.0,76.0,241.82,36,12
4261.0,1.0,46.19,35,12
1868.0,76.0,353.89,31,11
5138.0,34.0,228.9,35,12
5103.0,76.0,394.95,36,12
3102.0,55.0,55.65,30,10
7865.0,76.0,87.66,33,12
2585.0,10.0,424.82,36,12
